Timestamps (secs),zScore,Events
66308.16038,1.6709920316852955,
66308.19373,1.1774518413281474,
66308.22704,1.8231823469584363,
66308.26038,1.309306642144272,
66308.29373,1.7057227727755169,
66308.32704,2.2433907966906608,
66308.36038,1.8594386662703548,
66308.39373,2.673457029807273,
66308.42704,2.485341454244956,
66308.46038,2.0863357654396233,
66308.49373,1.9709579526294922,
66308.52704,2.1768911947116827,
66308.56038,2.3256051677473972,
66308.59373,2.1498052452633245,
66308.62704,2.834680510462777,
66308.66035,2.1261767915821306,
66308.6937,1.6967322358609487,
66308.72704,2.265221900247645,
66308.76035,2.5548913053146918,
66308.7937,1.4193858402300077,
66308.82704,1.769140538066229,
66308.86035,2.423105335794399,
66308.8937,0.9117410416123992,
66308.92704,1.9392295323906745,
66308.96035,1.3898404226120997,
66308.9937,2.240659556618541,
66309.02701,1.6940376501451617,
66309.06035,2.4988498968147943,
66309.0937,2.21702822399632,
66309.12701,1.9448971409593647,
66309.16035,1.458716190630217,
66309.1937,2.3276669334162867,
66309.22701,1.902871513720226,
66309.26035,2.5596781039314767,
66309.2937,2.558617002920113,
66309.32701,2.3538227792103403,
66309.36035,2.7109578531437744,
66309.39366,2.755193593184468,
66309.42701,2.417261680570294,
66309.46035,2.493087945245349,
66309.49366,1.6436438545101135,
66309.52701,2.356992984787871,
66309.56032,2.1474679213983165,
66309.59366,2.6217803460839475,
66309.62701,1.7999688437724428,
66309.66032,2.1583179744983223,
66309.69366,2.0642029008584553,
66309.72701,1.9732047197873512,
66309.76032,1.8949878182385196,
66309.79366,2.0991536993182005,
66309.82698,1.2048972404450822,
66309.86032,2.0136719007420942,
66309.89366,2.0337318570029916,
66309.92698,2.1304664779386466,
66309.96032,2.2918233767817418,
66309.99366,2.1318115320881224,
66310.02698,2.430066283979576,
66310.06032,2.0951329059231996,
66310.09363,1.6035301491125142,
66310.12698,1.7254387976548722,
66310.16032,2.6103536648868393,
66310.19366,1.5149321490908167,
66310.22698,2.3179170565145677,
66310.26029,1.634165058387707,
66310.29363,2.5314133865839903,
66310.32698,2.909832925099006,
66310.36029,1.9456505068350824,
66310.39363,1.7625630545598674,
66310.42698,2.076051888908568,
66310.46029,2.2323835434055304,
66310.49363,2.353401163480507,
66310.52694,2.861219820935675,
66310.56029,1.7541620181012882,
66310.59363,2.052991799614036,
66310.62694,1.9406936356743443,
66310.66029,0.9156113000569084,
66310.69363,1.8047880523415178,
66310.72694,1.601284980430406,
66310.76029,2.04513521431309,
66310.79363,1.1588515109341135,
66310.82694,1.847295273553862,
66310.86029,1.5550909037867717,
66310.89363,1.5984098706424554,
66310.92694,1.6469374848574623,
66310.96029,0.863127937449097,
66310.9936,1.7416584845929899,
66311.02694,2.7475976371345663,
66311.06029,1.974009800196058,
66311.0936,1.2961021484164446,
66311.12694,2.333308339156911,
66311.16026,1.627649740942544,
66311.1936,1.95263030149055,
66311.22694,2.2419140540608966,
66311.26026,1.3722594721142136,
66311.2936,1.900138085830279,
66311.32694,1.278618419860369,
66311.36026,0.9051635581060375,
66311.3936,1.707857847157073,
66311.42691,0.5457016118358634,
66311.46026,1.7418652114932478,
66311.4936,0.7254811959418269,
66311.52691,0.40329404152714005,
66311.56026,1.092489571546827,
66311.5936,1.0627001833302516,
66311.62691,0.28259990788760686,
66311.66026,1.0111469243767444,
66311.6936,0.4227840349255389,
66311.72691,-0.1324194320786409,
66311.76026,1.051331881900765,
66311.79357,0.5899761940507458,
66311.82691,1.2151227372085736,
66311.86026,1.1969118456048458,
66311.89357,0.9204109710325219,
66311.92691,1.57630699518293,
66311.96022,1.328387659158932,
66311.99357,1.3939662435488,
66312.02691,1.5418773239937216,
66312.06022,0.9641322490373114,
66312.09357,1.3898015804379107,
66312.12691,1.16335389830232,
66312.16022,1.153905091301614,
66312.19357,0.9998252707213353,
66312.22688,0.7557462040201461,
66312.26022,1.0021992489427054,
66312.29357,1.218992995653083,
66312.32688,1.007048446633423,
66312.36022,0.6233252266351289,
66312.39357,0.5283324549971466,
66312.42688,0.9438722311107888,
66312.46022,1.537843891252626,
66312.49357,1.7088008231701481,
66312.52688,1.1029413328040383,
66312.56022,1.1755001699598107,
66312.59357,0.47053655785356857,
66312.62688,1.0510841250084915,
66312.66019,0.9957139206192431,
66312.69354,1.0391600985383513,
66312.72688,1.377026966150329,
66312.76019,0.2714421196520422,
66312.79354,1.4672162805191205,
66312.82688,1.8056664414628336,
66312.86019,1.820153823278967,
66312.89354,1.4442394933550569,
66312.92688,2.1147712464542634,
66312.96019,1.763100840482839,
66312.99354,0.9610415592966145,
66313.02688,1.6662223498313538,
66313.06019,1.2634376504118898,
66313.09354,1.8245252132901142,
66313.12685,1.583883646652162,
66313.16019,1.5032381734080311,
66313.19354,0.7960706556244014,
66313.22685,1.9341394760550503,
66313.26019,1.8393727358980534,
66313.29354,1.8574226410229926,
66313.32685,1.5031993312338423,
66313.36019,2.522044095420089,
66313.3935,1.637473159569664,
66313.42685,1.846408722503287,
66313.46019,0.8380700800355034,
66313.4935,1.552273584424338,
66313.52685,1.6255102909253638,
66313.56016,0.876614887620439,
66313.5935,1.6775180336714315,
66313.62685,1.4193643478314826,
66313.66016,2.86525727298314,
66313.6935,1.4761784267877387,
